"","ppid","trial_num","block_num","trial_num_in_block","start_time","end_time","target_angle","angular_dev_h","plane_visible","high_targets","rotated_session"
"1",1,46,2,1,340.546,344.3014,80,-11.6022360840739,FALSE,FALSE,FALSE
"2",1,47,2,2,344.3014,347.4127,100,-4.66784111834043,FALSE,FALSE,FALSE
"3",1,48,2,3,347.4127,350.3685,60,13.3444485227984,FALSE,FALSE,FALSE
"4",1,49,2,4,350.3685,353.6907,120,-5.60056407582485,FALSE,FALSE,FALSE
"5",1,50,2,5,353.6907,358.1241,140,-33.9860411726737,FALSE,FALSE,FALSE
"6",1,51,2,6,358.1241,361.3019,40,11.8675089613229,FALSE,FALSE,FALSE
"7",1,52,2,7,361.3019,364.8352,140,-19.8774881290383,FALSE,FALSE,FALSE
"8",1,53,2,8,364.8352,368.5464,60,10.6410058243053,FALSE,FALSE,FALSE
"9",1,54,2,9,368.5464,371.5243,80,17.2243156940453,FALSE,FALSE,FALSE
"10",1,55,2,10,371.5243,374.6131,120,-17.1957339347132,FALSE,FALSE,FALSE
"11",1,56,2,11,374.6131,377.4244,40,16.6758676959515,FALSE,FALSE,FALSE
"12",1,57,2,12,377.4244,380.9912,100,5.03781590358226,FALSE,FALSE,FALSE
"13",1,73,4,1,424.2913,427.7026,100,-19.0085037420252,TRUE,FALSE,FALSE
"14",1,74,4,2,427.7026,430.4141,80,-22.1566089328352,TRUE,FALSE,FALSE
"15",1,75,4,3,430.4141,433.814,40,4.07595464722726,TRUE,FALSE,FALSE
"16",1,76,4,4,433.814,437.4808,60,10.5328064855123,TRUE,FALSE,FALSE
"17",1,77,4,5,437.4808,440.7245,120,-25.2363583092738,TRUE,FALSE,FALSE
"18",1,78,4,6,440.7245,444.4138,140,-35.5977842093342,TRUE,FALSE,FALSE
"19",1,79,4,7,444.4138,447.714,40,-3.71826300513694,TRUE,FALSE,FALSE
"20",1,80,4,8,447.714,450.9364,60,1.5331057681195,TRUE,FALSE,FALSE
"21",1,81,4,9,450.9364,455.2808,120,-43.3245312618908,TRUE,FALSE,FALSE
"22",1,82,4,10,455.2808,458.3252,100,-27.4179707922028,TRUE,FALSE,FALSE
"23",1,83,4,11,458.3252,461.6809,140,-59.5222550099252,TRUE,FALSE,FALSE
"24",1,84,4,12,461.6809,464.9699,80,-26.902978346275,TRUE,FALSE,FALSE
"25",1,100,6,1,507.0373,510.3927,140,-26.6147789427862,FALSE,TRUE,FALSE
"26",1,101,6,2,510.3927,512.9927,120,-7.63717485068993,FALSE,TRUE,FALSE
"27",1,102,6,3,512.9927,515.5817,100,2.93378035320224,FALSE,TRUE,FALSE
"28",1,103,6,4,515.5817,519.2039,60,20.2362824682952,FALSE,TRUE,FALSE
"29",1,104,6,5,519.2039,523.1707,80,-6.30170834430737,FALSE,TRUE,FALSE
"30",1,105,6,6,523.1707,528.3373,40,17.2647737278924,FALSE,TRUE,FALSE
"31",1,106,6,7,528.3373,531.1374,80,-11.4017443627045,FALSE,TRUE,FALSE
