"","directory","experiment","ppid","session_num","trial_num","block_num","trial_num_in_block","start_time","end_time","test_to_log","cursor_visibility","rotation","trial_type","target_angle","example_object_movement_filename","angular_dev_h","plane_visible","high_targets"
"1","visible_plane - B/5/S001","visible_plane - B",5,1,1,1,1,46.73446,305.7029,"A","True",0,"aligned_1_1",90,"example_object_movement_T001.csv",-39.3025692283412,FALSE,FALSE
"2","visible_plane - B/5/S001","visible_plane - B",5,1,2,1,2,305.7029,324.481,"A","True",0,"aligned_1_1",90,"example_object_movement_T002.csv",14.0362434679265,FALSE,FALSE
"3","visible_plane - B/5/S001","visible_plane - B",5,1,3,1,3,324.481,332.8145,"A","True",0,"aligned_1_1",90,"example_object_movement_T003.csv",-5.44922612896465,FALSE,FALSE
"4","visible_plane - B/5/S001","visible_plane - B",5,1,4,1,4,332.8145,336.9256,"A","True",0,"aligned_1_1",90,"example_object_movement_T004.csv",-10.3684554123951,FALSE,FALSE
"5","visible_plane - B/5/S001","visible_plane - B",5,1,5,1,5,336.9256,358.3036,"A","True",0,"aligned_1_1",90,"example_object_movement_T005.csv",-45,FALSE,FALSE
"6","visible_plane - B/5/S001","visible_plane - B",5,1,6,1,6,358.3036,386.4931,"A","True",0,"aligned_1_1",90,"example_object_movement_T006.csv",1.83150840800732,FALSE,FALSE
"7","visible_plane - B/5/S001","visible_plane - B",5,1,7,1,7,386.4931,393.1153,"A","True",0,"aligned_1_1",90,"example_object_movement_T007.csv",-3.29520995285105,FALSE,FALSE
"8","visible_plane - B/5/S001","visible_plane - B",5,1,8,1,8,393.1153,397.1708,"A","True",0,"aligned_1_1",90,"example_object_movement_T008.csv",-12.2647737278924,FALSE,FALSE
"9","visible_plane - B/5/S001","visible_plane - B",5,1,9,1,9,397.1708,400.8044,"A","True",0,"aligned_1_1",90,"example_object_movement_T009.csv",-6.97761849083169,FALSE,FALSE
"10","visible_plane - B/5/S001","visible_plane - B",5,1,10,1,10,400.8044,404.8154,"A","True",0,"aligned_1_1",90,"example_object_movement_T010.csv",-1.62728332239359,FALSE,FALSE
"11","visible_plane - B/5/S001","visible_plane - B",5,1,11,1,11,404.8154,408.7265,"A","True",0,"aligned_1_1",90,"example_object_movement_T011.csv",-2.17474411461005,FALSE,FALSE
"12","visible_plane - B/5/S001","visible_plane - B",5,1,12,1,12,408.7265,412.4599,"A","True",0,"aligned_1_1",90,"example_object_movement_T012.csv",3.44085692222971,FALSE,FALSE
"13","visible_plane - B/5/S001","visible_plane - B",5,1,13,1,13,412.4599,415.7045,"A","True",0,"aligned_1_1",90,"example_object_movement_T013.csv",-4.48785186154167,FALSE,FALSE
"14","visible_plane - B/5/S001","visible_plane - B",5,1,14,1,14,415.7045,419.2711,"A","True",0,"aligned_1_1",90,"example_object_movement_T014.csv",-0.164642591407457,FALSE,FALSE
"15","visible_plane - B/5/S001","visible_plane - B",5,1,15,1,15,419.2711,423.9711,"A","True",0,"aligned_1_1",90,"example_object_movement_T015.csv",-4.96974072811031,FALSE,FALSE
"16","visible_plane - B/5/S001","visible_plane - B",5,1,16,1,16,423.9711,428.8489,"A","True",0,"aligned_1_1",90,"example_object_movement_T016.csv",6.11550356628541,FALSE,FALSE
